Step,Kp,Tau,Td
-0.025,-134.230765,3.372372682,-6.92943E-08
-0.02275,-133.5189886,3.354500543,-7.05923E-08
-0.0205,-132.431271,3.327183187,-7.19E-08
-0.01825,-131.0149765,3.291610504,-7.32211E-08
-0.016,-129.2780454,3.247981901,-7.45612E-08
-0.01375,-127.1783873,3.195239813,-7.59298E-08
-0.0115,-124.5940106,3.130319197,-7.73434E-08
-0.00925,-121.2428973,3.046134419,-7.8835E-08
-0.007,-116.4418437,2.925520203,-8.04797E-08
-0.00475,-108.1730155,2.717779176,-8.24951E-08
-0.0025,-87.10064489,2.188121178,-5.52166E-09
0.0025,-168.7174297,4.238496589,5.52171E-09
0.00475,-147.7018084,3.710549278,2.90618E-09
0.007,-139.5193801,3.505399515,-8.50614E-08
0.00925,-134.825979,3.387488561,-8.67061E-08
0.0115,-131.5911897,3.306224709,-8.81977E-08
0.01375,-129.1139915,3.243994989,-8.96114E-08
0.016,-127.0877927,3.193096369,-9.09801E-08
0.01825,-125.3571414,3.149623169,-9.23202E-08
0.0205,-123.8346893,3.111380788,-9.36415E-08
0.02275,-122.467454,3.07703807,-9.49492E-08
0.025,-121.2213177,3.045737817,-9.62472E-08
