Step,Percent,Kp,Tau,Td
-88,-20,-0.00196,6.39,0.00227
-83.6,-19,-0.00195,6.38,0.00225
-79.2,-18,-0.00191,6.39,0.00222
-74.8,-17,-0.00191,6.38,0.00221
-70.4,-16,-0.00187,6.38,0.00218
-66,-15,-0.00186,6.38,0.00216
-61.6,-14,-0.00186,6.38,0.00213
-57.2,-13,-0.00182,6.38,0.00205
-52.8,-12,-0.00182,6.39,0.00202
-48.4,-11,-0.00178,6.39,0.00196
-44,-10,-0.00178,6.39,0.00193
-39.6,-9,-0.00178,6.39,0.00189
-35.2,-8,-0.00173,6.39,0.00187
-30.8,-7,-0.00174,6.39,0.00184
-26.4,-6,-0.00169,6.39,0.00178
-22,-5,-0.00170,6.39,0.00172
-17.6,-4,-0.00172,6.39,0.00164
-13.2,-3,-0.00164,6.39,0.00150
-8.8,-2,-0.00169,6.39,0.00128
-4.4,-1,-0.00149,6.38,0.00048
4.4,1,-0.00146,6.40,0.00346
8.8,2,-0.00163,6.39,0.00257
13.2,3,-0.00156,6.39,0.00235
17.6,4,-0.00160,6.40,0.00221
22,5,-0.00156,6.39,0.00214
26.4,6,-0.00152,6.39,0.00209
30.8,7,-0.00154,6.40,0.00203
35.2,8,-0.00151,6.40,0.00199
39.6,9,-0.00152,6.40,0.00196
44,10,-0.00150,6.40,0.00193
48.4,11,-0.00147,6.40,0.00189
52.8,12,-0.00148,6.40,0.00188
57.2,13,-0.00146,6.40,0.00186
61.6,14,-0.00146,6.40,0.00183
66,15,-0.00144,6.39,0.00183
70.4,16,-0.00142,6.40,0.00181
74.8,17,-0.00142,6.38,0.00176
79.2,18,-0.00140,6.38,0.00175
83.6,19,-0.00140,6.38,0.00173
88,20,-0.00139,6.39,0.00172
