Step,Percent,Kp,Tau,Td
-88,-20,0.00115,17.6,8.04
-83.6,-19,0.00114,17.6,8.04
-79.2,-18,0.00111,17.5,8.08
-74.8,-17,0.00110,17.6,8.05
-70.4,-16,0.00108,17.7,8.07
-66,-15,0.00107,17.6,8.08
-61.6,-14,0.00107,17.6,8.09
-57.2,-13,0.00104,17.6,8.09
-52.8,-12,0.00104,17.7,8.07
-48.4,-11,0.00101,17.7,8.10
-44,-10,0.00101,17.6,8.12
-39.6,-9,0.00101,17.7,8.11
-35.2,-8,0.00098,17.7,8.10
-30.8,-7,0.00098,17.7,8.11
-26.4,-6,0.00095,17.7,8.11
-22,-5,0.00095,17.7,8.15
-17.6,-4,0.00096,17.7,8.15
-13.2,-3,0.00091,17.7,8.15
-8.8,-2,0.00094,17.7,8.19
-4.4,-1,0.00082,17.6,8.22
4.4,1,0.00081,17.9,8.05
8.8,2,0.00090,17.8,8.14
13.2,3,0.00086,17.8,8.15
17.6,4,0.00088,17.9,8.12
22,5,0.00085,17.8,8.14
26.4,6,0.00083,17.8,8.15
30.8,7,0.00084,17.8,8.15
35.2,8,0.00082,17.9,8.13
39.6,9,0.00083,17.8,8.17
44,10,0.00081,17.9,8.14
48.4,11,0.00080,17.9,8.15
52.8,12,0.00080,17.9,8.15
57.2,13,0.00079,17.9,8.17
61.6,14,0.00079,17.9,8.17
66,15,0.00077,17.9,8.18
70.4,16,0.00076,17.9,8.18
74.8,17,0.00076,17.9,8.21
79.2,18,0.00075,17.9,8.17
83.6,19,0.00075,17.9,8.20
88,20,0.00074,17.9,8.18
