Step,Percent,Kp,Tau,Td
55,20,0.000143,16.2,5.47
-52.25,-19,0.000257,21.5,6.38
-49.5,-18,0.000250,21.2,6.34
-46.75,-17,0.000251,21.1,6.32
-44,-16,0.000244,20.9,6.28
-41.25,-15,0.000237,20.6,6.25
-38.5,-14,0.000231,20.4,6.21
-35.75,-13,0.000232,20.3,6.19
-33,-12,0.000226,20.1,6.17
-30.25,-11,0.000220,19.9,6.14
-27.5,-10,0.000214,19.7,6.11
-24.75,-9,0.000217,19.6,6.09
-22,-8,0.000211,19.4,6.06
-19.25,-7,0.000204,19.2,6.03
-16.5,-6,0.000197,19.1,6.00
-13.75,-5,0.000205,18.9,5.99
-11,-4,0.000197,18.8,5.97
-8.25,-3,0.000188,18.6,5.95
-5.5,-2,0.000173,18.4,5.93
-2.75,-1,0.000206,18.3,5.94
2.75,1,0.000200,18.1,5.78
5.5,2,0.000197,18.0,5.78
8.25,3,0.000173,17.9,5.77
11,4,0.000176,17.8,5.75
13.75,5,0.000176,17.6,5.74
16.5,6,0.000175,17.5,5.72
19.25,7,0.000166,17.4,5.70
22,8,0.000166,17.3,5.69
24.75,9,0.000165,17.2,5.67
27.5,10,0.000164,17.1,5.64
30.25,11,0.000159,17.0,5.63
33,12,0.000158,16.9,5.61
35.75,13,0.000157,16.8,5.59
38.5,14,0.000155,16.7,5.56
41.25,15,0.000151,16.6,5.55
44,16,0.000150,16.5,5.53
46.75,17,0.000149,16.4,5.52
49.5,18,0.000148,16.3,5.50
52.25,19,0.000144,16.3,5.49
55,20,0.000143,16.2,5.47
